thr,N,M,time,K
1,150,15,0.000890833,303
1,150,15,0.000880583,386
1,150,15,0.000879708,341
1,150,15,0.00197292,269
1,150,15,0.000871875,287
1,150,15,0.00128217,374
1,150,15,0.000874375,218
1,150,15,0.00131825,273
1,150,15,0.00088975,446
1,150,15,0.000871,277
1,150,15,0.000927167,286
1,150,15,0.000886833,174
1,150,15,0.00111817,271
1,150,15,0.000912833,310
1,150,15,0.000883833,252
1,150,15,0.000887167,308
1,150,15,0.000894917,298
1,150,15,0.00139596,356
1,150,15,0.000876166,348
1,150,15,0.000882208,224
1,150,15,0.000880292,267
1,150,15,0.00171504,288
1,150,15,0.00152704,237
1,150,15,0.00120921,336
1,150,15,0.000865959,326
1,150,15,0.000888542,276
1,150,15,0.000990375,289
1,150,15,0.000878292,374
1,150,15,0.00118787,191
1,150,15,0.000891,290
1,150,15,0.00106708,366
1,150,15,0.00201342,278
1,150,15,0.000899167,206
1,150,15,0.000871084,461
1,150,15,0.00161479,272
1,150,15,0.000879958,373
1,150,15,0.000870125,260
1,150,15,0.000881042,254
1,150,15,0.000872209,290
1,150,15,0.000894959,183
1,150,15,0.0008905,258
1,150,15,0.00183754,268
1,150,15,0.000879042,253
1,150,15,0.000872709,309
1,150,15,0.000910334,348
1,150,15,0.00154317,311
1,150,15,0.00087325,250
1,150,15,0.00131592,295
1,150,15,0.000983291,275
1,150,15,0.001383,263
1,150,15,0.000877875,307
1,150,15,0.00153629,149
1,150,15,0.00147925,385
1,150,15,0.000881834,307
1,150,15,0.00108529,372
1,150,15,0.000907541,362
1,150,15,0.000876917,206
1,150,15,0.000882791,258
1,150,15,0.00122829,335
1,150,15,0.000872167,290
1,150,15,0.00115883,133
1,150,15,0.000873625,317
1,150,15,0.000875,221
1,150,15,0.00087875,223
1,150,15,0.000898334,243
1,150,15,0.00133692,270
1,150,15,0.000876167,297
1,150,15,0.00120071,250
1,150,15,0.00138663,268
1,150,15,0.000918792,351
1,150,15,0.000882,303
1,150,15,0.000880583,317
1,150,15,0.00213037,233
1,150,15,0.00154404,317
1,150,15,0.0008805,422
1,150,15,0.000884458,487
1,150,15,0.000977792,242
1,150,15,0.000914459,278
1,150,15,0.00136854,381
1,150,15,0.000896625,371
1,150,15,0.00165475,322
1,150,15,0.0008825,213
1,150,15,0.000898041,339
1,150,15,0.0008685,335
1,150,15,0.00138483,444
1,150,15,0.000886583,285
1,150,15,0.00129808,330
1,150,15,0.000988833,275
1,150,15,0.000885458,241
1,150,15,0.00104875,326
1,150,15,0.00110388,297
1,150,15,0.000883791,256
1,150,15,0.000893834,385
1,150,15,0.000875333,268
1,150,15,0.00147329,326
1,150,15,0.000902916,357
1,150,15,0.000889292,333
1,150,15,0.00148217,363
1,150,15,0.00179708,261
1,150,15,0.00122125,256
1,150,15,0.00141496,316
1,150,15,0.000885875,386
1,150,15,0.00154388,304
1,150,15,0.000883209,156
1,150,15,0.00128283,486
1,150,15,0.0016705,249
1,150,15,0.00111875,266
1,150,15,0.0012965,294
1,150,15,0.00146038,273
1,150,15,0.000910041,249
1,150,15,0.000907125,335
1,150,15,0.00213525,208
1,150,15,0.000885458,427
1,150,15,0.00134783,247
1,150,15,0.000888708,336
1,150,15,0.00130688,308
1,150,15,0.000869209,217
1,150,15,0.000903875,293
1,150,15,0.001381,361
1,150,15,0.000877708,309
1,150,15,0.00114087,263
1,150,15,0.000894208,369
1,150,15,0.000870083,321
1,150,15,0.000949041,360
1,150,15,0.00151042,266
1,150,15,0.00104587,394
1,150,15,0.000885833,443
1,150,15,0.00199904,226
1,150,15,0.000974792,286
1,150,15,0.000922541,256
1,150,15,0.00107796,407
1,150,15,0.000888,295
1,150,15,0.000888625,270
1,150,15,0.00106108,360
1,150,15,0.00106783,288
1,150,15,0.000992917,251
1,150,15,0.000904,328
1,150,15,0.00128817,277
1,150,15,0.00179125,317
1,150,15,0.000900333,291
1,150,15,0.00141942,219
1,150,15,0.000913666,383
1,150,15,0.00148971,207
1,150,15,0.00117742,292
1,150,15,0.000891583,252
1,150,15,0.00150317,197
1,150,15,0.00179304,255
1,150,15,0.000878708,205
1,150,15,0.000878333,259
1,150,15,0.00111804,320
1,150,15,0.000878625,359
1,150,15,0.00129517,221
1,150,15,0.000873458,417
1,150,15,0.000876875,302
1,150,15,0.0008765,274
1,150,15,0.000874625,361
1,150,15,0.0012915,269
1,150,15,0.000890458,190
1,150,15,0.000982042,271
1,150,15,0.00154783,372
1,150,15,0.00111725,184
1,150,15,0.00130446,347
1,150,15,0.000872667,212
1,150,15,0.000877875,343
1,150,15,0.000888459,262
1,150,15,0.00189921,226
1,150,15,0.001558,262
1,150,15,0.000881583,274
1,150,15,0.000890875,284
1,150,15,0.00123438,314
1,150,15,0.000904917,273
1,150,15,0.00091025,377
1,150,15,0.000920125,241
1,150,15,0.0015125,296
1,150,15,0.0011675,197
1,150,15,0.000887,407
1,150,15,0.00101667,289
1,150,15,0.002016,295
1,150,15,0.000888792,361
1,150,15,0.00146133,310
1,150,15,0.000890834,316
1,150,15,0.000887292,244
1,150,15,0.00110337,201
1,150,15,0.0008815,247
1,150,15,0.00109992,286
1,150,15,0.000886959,369
1,150,15,0.000878667,307
1,150,15,0.000875,317
1,150,15,0.000876958,350
1,150,15,0.00101012,334
1,150,15,0.000900292,308
1,150,15,0.000936041,310
1,150,15,0.00155546,413
1,150,15,0.00088825,359
1,150,15,0.000885416,317
1,150,15,0.00161767,175
1,150,15,0.00197833,226
1,150,15,0.00117821,308
1,150,15,0.00089625,328
1,150,15,0.00100754,247
1,150,15,0.000881542,267
1,150,15,0.000869333,263
1,150,15,0.000939458,237
1,150,15,0.000898458,295
1,150,15,0.000880708,305
1,150,15,0.00158775,277
1,150,15,0.00088225,313
1,150,15,0.00104908,360
1,150,15,0.00168971,199
1,150,15,0.000914958,371
1,150,15,0.000874583,260
1,150,15,0.00100679,188
1,150,15,0.000883709,399
1,150,15,0.000907708,212
1,150,15,0.00131267,322
1,150,15,0.00117521,343
1,150,15,0.000884333,206
1,150,15,0.000914042,199
1,150,15,0.000884541,350
1,150,15,0.00148483,239
1,150,15,0.00110046,286
1,150,15,0.000876292,281
1,150,15,0.000880125,380
1,150,15,0.00139904,309
1,150,15,0.000890208,263
1,150,15,0.000887875,335
1,150,15,0.00149562,302
1,150,15,0.00275775,378
1,150,15,0.000890833,193
1,150,15,0.00106258,194
1,150,15,0.00158467,259
1,150,15,0.00130917,337
1,150,15,0.00195246,277
1,150,15,0.000902,373
1,150,15,0.00091875,235
1,150,15,0.000871667,194
1,150,15,0.00123629,229
1,150,15,0.0013105,356
1,150,15,0.00090675,333
1,150,15,0.00133979,252
1,150,15,0.000871292,274
1,150,15,0.00112854,283
1,150,15,0.00127496,186
1,150,15,0.000880166,288
1,150,15,0.000907958,326
1,150,15,0.000884417,422
1,150,15,0.000880292,260
