thr,N,M,time,K
1,100000,5000,36.3747,948
2,100000,5000,21.7436,957
3,100000,5000,19.0845,892
4,100000,5000,16.2301,890
1,100,10,0.0011725,235
2,100,10,0.000817458,262
3,100,10,0.000623708,332
4,100,10,0.000500917,275

